"日付け","終値","始値","高値","安値","出来高","前日比%"
"2018年06月07日","376.25","379.00","382.00","374.25","300.59K","-0.53%"
"2018年06月06日","378.25","384.25","386.50","378.00","227.30K","-1.43%"
"2018年06月05日","383.75","380.75","385.25","380.00","212.44K","0.79%"
"2018年06月04日","380.75","389.75","389.75","380.50","266.55K","-2.75%"
"2018年06月01日","391.50","393.75","397.00","390.75","172.12K","-0.63%"
"2018年05月31日","394.00","393.50","398.50","393.25","195.81K","0.13%"
"2018年05月30日","393.50","398.25","398.50","390.75","293.00K","-1.63%"
"2018年05月29日","400.00","408.75","410.00","397.50","242.71K","-2.14%"
"2018年05月28日","408.75","409.00","409.00","408.75","-","0.68%"
"2018年05月25日","406.00","404.00","406.75","403.25","129.41K","0.43%"
"2018年05月24日","404.25","408.25","412.25","403.75","236.84K","-1.04%"
"2018年05月23日","408.50","404.50","409.00","403.00","163.38K","0.93%"
"2018年05月22日","404.75","402.25","407.00","401.00","166.30K","0.50%"
"2018年05月21日","402.75","405.50","407.50","401.25","181.09K","0.25%"
"2018年05月20日","401.75","401.75","401.75","401.75","-","-0.19%"
"2018年05月18日","402.50","395.25","403.50","395.00","181.91K","1.83%"
"2018年05月17日","395.25","399.00","402.00","395.00","147.54K","-1.00%"
"2018年05月16日","399.25","401.75","404.75","398.00","171.92K","-0.75%"
"2018年05月15日","402.25","396.25","402.50","396.00","190.99K","3.41%"
"2018年05月14日","389.00","388.50","388.75","387.50","0.20K","-0.19%"
"2018年05月11日","389.75","394.00","394.75","389.75","0.50K","-1.27%"
"2018年05月10日","394.75","395.50","399.75","393.25","0.60K","0.00%"
"2018年05月09日","394.75","396.25","397.00","394.00","0.91K","-0.19%"
"2018年05月08日","395.50","392.75","396.00","391.25","2.02K","0.57%"
"2018年05月07日","393.25","397.25","397.50","393.25","1.96K","-2.90%"
"2018年05月06日","405.00","405.00","405.00","405.00","-","1.57%"
"2018年05月04日","398.75","399.50","400.00","397.50","2.09K","-0.19%"
"2018年05月03日","399.50","396.00","399.50","395.00","1.32K","0.88%"
"2018年05月02日","396.00","396.25","397.25","395.00","3.18K","-0.19%"
"2018年05月01日","396.75","393.00","397.00","391.50","7.50K","1.08%"
